v1,v2,v3
0.74,0.112,0.704
0.728,0.14,0.704
0.708,0.144,0.732
0.712,0.128,0.744
0.696,0.132,0.732
0.728,0.108,0.744
0.708,0.1,0.764
0.72,0.1,0.76
0.72,0.108,0.768
0.716,0.116,0.768
0.712,0.112,0.768
0.72,0.104,0.76
0.704,0.112,0.76
0.696,0.12,0.744
0.704,0.104,0.752
0.712,0.096,0.756
0.724,0.104,0.756
0.712,0.108,0.756
0.712,0.084,0.764
0.708,0.08,0.768
0.708,0.1,0.772
0.696,0.144,0.764
0.708,0.112,0.768
0.712,0.1,0.78
0.7,0.092,0.776
0.704,0.12,0.772
0.704,0.124,0.764
0.708,0.112,0.768
0.712,0.108,0.768
0.712,0.12,0.756
0.712,0.108,0.764
0.692,0.088,0.776
0.688,0.108,0.788
0.692,0.124,0.768
0.704,0.124,0.768
0.7,0.092,0.768
0.704,0.112,0.76
0.708,0.124,0.768
0.7,0.112,0.772
0.708,0.108,0.76
0.712,0.104,0.764
0.708,0.108,0.78
0.696,0.112,0.784
0.712,0.132,0.768
0.692,0.132,0.772
0.692,0.12,0.772
0.696,0.104,0.772
0.7,0.116,0.772
0.708,0.136,0.772
0.696,0.14,0.768
0.704,0.124,0.776
0.696,0.132,0.776
0.696,0.136,0.776
0.696,0.132,0.78
0.7,0.132,0.772
0.7,0.128,0.78
0.692,0.124,0.776
0.696,0.12,0.784
0.696,0.116,0.788
0.688,0.132,0.776
0.688,0.136,0.784
0.68,0.124,0.788
0.688,0.112,0.784
0.684,0.124,0.78
0.692,0.148,0.772
0.684,0.124,0.772
0.688,0.108,0.78
0.696,0.128,0.768
0.688,0.132,0.776
0.672,0.124,0.784
0.672,0.124,0.784
0.676,0.132,0.78
0.688,0.128,0.772
0.68,0.124,0.784
0.68,0.12,0.772
0.676,0.128,0.764
0.676,0.116,0.76
0.66,0.112,0.76
0.648,0.108,0.74
0.66,0.128,0.724
0.652,0.12,0.736
0.64,0.104,0.728
0.644,0.108,0.724
0.636,0.12,0.72
0.612,0.108,0.704
0.6,0.1,0.716
0.604,0.112,0.74
0.588,0.116,0.756
0.588,0.108,0.748
0.592,0.112,0.768
0.556,0.128,0.78
0.528,0.096,0.796
0.556,0.14,0.788
0.552,0.172,0.792
0.528,0.144,0.824
0.52,0.148,0.808
0.516,0.148,0.824
0.472,0.172,0.828
0.488,0.184,0.824
0.472,0.212,0.824
0.408,0.168,0.828
0.336,0.12,0.828
0.408,0.228,0.828
0.376,0.28,0.832
0.324,0.208,0.836
0.336,0.156,0.848
0.376,0.216,0.856
0.3,0.22,0.888
0.256,0.192,0.888
0.268,0.18,0.892
0.412,0.332,0.876
0.244,0.268,0.956
0.168,0.212,0.96
0.144,0.176,0.932
0.2,0.264,0.936
0.184,0.304,0.976
0.132,0.336,1.032
0.068,0.2,0.98
0.088,0.244,0.972
0.112,0.304,0.98
0.008,0.312,1
-0.032,0.316,0.976
-0.012,0.36,0.98
-0.024,0.428,0.968
-0.088,0.372,0.952
-0.168,0.356,0.944
-0.16,0.336,0.956
-0.132,0.376,0.972
-0.156,0.392,0.976
-0.276,0.372,0.948
-0.332,0.364,0.892
-0.284,0.456,0.896
-0.312,0.476,0.904
-0.44,0.376,0.916
-0.476,0.364,0.868
-0.428,0.432,0.844
-0.436,0.468,0.872
-0.524,0.316,0.94
-0.568,0.28,0.892
-0.588,0.312,0.824
-0.576,0.412,0.812
-0.612,0.408,0.844
-0.668,0.344,0.852
-0.676,0.312,0.788
-0.68,0.36,0.756
-0.684,0.352,0.768
-0.74,0.344,0.792
-0.732,0.348,0.72
-0.728,0.356,0.684
-0.74,0.372,0.656
-0.776,0.392,0.66
-0.784,0.392,0.644
-0.776,0.388,0.608
-0.788,0.4,0.592
-0.804,0.38,0.608
-0.824,0.424,0.6
-0.804,0.424,0.576
-0.804,0.432,0.556
-0.828,0.4,0.548
-0.832,0.368,0.56
-0.84,0.388,0.56
-0.832,0.336,0.536
-0.824,0.336,0.524
-0.808,0.324,0.512
-0.792,0.308,0.508
-0.788,0.32,0.496
-0.796,0.304,0.488
-0.784,0.292,0.488
-0.796,0.268,0.508
-0.804,0.28,0.496
-0.812,0.28,0.492
-0.824,0.288,0.5
-0.82,0.288,0.484
-0.816,0.324,0.464
-0.816,0.34,0.456
-0.828,0.32,0.46
-0.804,0.288,0.464
-0.792,0.28,0.472
-0.784,0.32,0.448
-0.82,0.356,0.444
-0.8,0.32,0.452
-0.816,0.28,0.456
-0.82,0.28,0.456
-0.816,0.28,0.444
-0.816,0.312,0.432
-0.82,0.324,0.428
-0.816,0.332,0.432
-0.816,0.356,0.436
-0.828,0.336,0.44
-0.832,0.344,0.428
-0.84,0.308,0.44
-0.844,0.272,0.444
-0.832,0.272,0.444
-0.844,0.272,0.452
-0.84,0.264,0.448
-0.84,0.244,0.444
-0.856,0.244,0.448
-0.848,0.228,0.46
-0.856,0.244,0.444
-0.848,0.244,0.436
-0.86,0.252,0.432
-0.86,0.26,0.444
-0.852,0.248,0.428
-0.856,0.216,0.428
-0.856,0.22,0.424
-0.868,0.236,0.412
-0.884,0.24,0.396
-0.896,0.22,0.412
-0.904,0.232,0.404
-0.888,0.256,0.388
-0.896,0.252,0.372
-0.884,0.22,0.38
-0.892,0.188,0.368
-0.888,0.188,0.344
-0.908,0.212,0.352
-0.912,0.24,0.364
-0.876,0.26,0.34
-0.892,0.228,0.332
-0.916,0.228,0.34
-0.924,0.224,0.344
-0.928,0.228,0.34
-0.948,0.248,0.332
-0.956,0.24,0.356
-0.94,0.216,0.344
-0.944,0.192,0.328
-0.924,0.176,0.324
-0.92,0.196,0.324
-0.928,0.216,0.336
-0.92,0.196,0.336
-0.936,0.208,0.336
-0.936,0.18,0.336
-0.94,0.192,0.34
-0.944,0.192,0.348
-0.932,0.204,0.356
-0.92,0.192,0.336
-0.928,0.184,0.344
-0.928,0.192,0.34
-0.92,0.204,0.336
-0.912,0.212,0.332
-0.924,0.236,0.336
-0.928,0.236,0.332
-0.928,0.224,0.328
-0.924,0.224,0.308
-0.924,0.236,0.308
-0.908,0.256,0.316
-0.9,0.256,0.316
-0.92,0.212,0.324
